Bangalore ,Karnataka,January ,27.4,15,4.9
Mysore ,Karnataka,August ,28,19.5,78.6
Mysore ,Karnataka,September ,28.9,19.3,117.6
Mysore ,Karnataka,October ,28.8,19.5,158.7
Mysore ,Karnataka,November ,27.9,18.2,63.8
Mysore ,Karnataka,December ,27.5,16.5,14.3
Panjim ,Goa,January ,31.1,20.2,0.9
Panjim ,Goa,February ,31,20.8,0.1
Panjim ,Goa,March ,31.4,23.3,0.4
Panjim ,Goa,April ,32.3,25.5,10.2
Panjim ,Goa,May ,32.7,26.6,66.7
Panjim ,Goa,June ,30.1,25,874
Panjim ,Goa,July ,28.6,24.3,949.5
Panjim ,Goa,August ,28.6,24.2,515.9
Panjim ,Goa,September ,29.3,24.1,231
Panjim ,Goa,October ,31.1,24.1,102.6
Panjim ,Goa,November ,32.2,22.6,30.2
Panjim ,Goa,December ,31.8,21,8.8
PortBlair ,Andaman and Nicobar,January ,29.4,23.1,46.4
PortBlair ,Andaman and Nicobar,February ,30.2,22.5,26.5
PortBlair ,Andaman and Nicobar,March ,31.5,23.2,29.3
PortBlair ,Andaman and Nicobar,April ,32.5,24.7,69
PortBlair ,Andaman and Nicobar,May ,31.1,24.7,360.4
PortBlair ,Andaman and Nicobar,June ,29.6,24.4,501.1
PortBlair ,Andaman and Nicobar,July ,29.2,24.3,423.7
PortBlair ,Andaman and Nicobar,August ,29.1,24.2,425.1
PortBlair ,Andaman and Nicobar,September ,29.1,23.7,463
PortBlair ,Andaman and Nicobar,October ,29.6,23.7,300.7
PortBlair ,Andaman and Nicobar,November ,29.7,23.9,235
PortBlair ,Andaman and Nicobar,December ,29.4,23.6,154.6
Pune ,Maharashtra,January ,30.2,11.6,1.6
Pune ,Maharashtra,February ,32.3,12.7,1.1
Pune ,Maharashtra,March ,35.8,16.3,2.7
Pune ,Maharashtra,April ,37.9,20.1,13.6
Pune ,Maharashtra,May ,37.2,22.3,33.3
Pune ,Maharashtra,June ,32,22.8,120.4
Pune ,Maharashtra,July ,28.1,22,179
Pune ,Maharashtra,August ,27.6,21.3,106.4
Pune ,Maharashtra,September ,29.2,20.6,129.1
Pune ,Maharashtra,October ,31.7,18.9,78.8
Pune ,Maharashtra,November ,30.5,14.8,28.6
Pune ,Maharashtra,December ,29.3,11.8,5.3
Rajkot ,Gujarat,January ,28.2,11.8,1
Rajkot ,Gujarat,February ,30.8,13.8,1
Rajkot ,Gujarat,March ,35.2,18,1
Rajkot ,Gujarat,April ,38.6,21.7,1.6
Rajkot ,Gujarat,May ,40.3,24.8,3.9
Rajkot ,Gujarat,June ,37.6,26.1,98.9
Rajkot ,Gujarat,July ,32.9,25.1,242.5
Rajkot ,Gujarat,August ,31.5,24.1,174.3
Rajkot ,Gujarat,September ,33.2,23.1,101
Rajkot ,Gujarat,October ,35.5,21.5,53.2
Rajkot ,Gujarat,November ,32.9,17.6,10
Rajkot ,Gujarat,December ,29.6,13.6,0.8
Ranchi ,Jharkhand,January ,23,10,20.5
Ranchi ,Jharkhand,February ,25.8,12.6,25.7
Ranchi ,Jharkhand,March ,31.2,17,18.9
Ranchi ,Jharkhand,April ,35.5,21.4,41.2
Ranchi ,Jharkhand,May ,37.2,23.6,58.5
Ranchi ,Jharkhand,June ,33.5,23.7,216.3
Ranchi ,Jharkhand,July ,29.3,22.7,337.9
Ranchi ,Jharkhand,August ,28.8,22.5,326.8
Ranchi ,Jharkhand,September ,29.1,21.8,273.2
Ranchi ,Jharkhand,October ,28.5,19,99.7
Ranchi ,Jharkhand,November ,25.9,14,16
Ranchi ,Jharkhand,December ,23.2,10.2,6.1
Shimla ,Himachal Pradesh,January ,8.6,1.9,57.9
Shimla ,Himachal Pradesh,February ,9.7,2.7,64.2
Shimla ,Himachal Pradesh,March ,13.9,6.5,62.1
Shimla ,Himachal Pradesh,April ,18.9,10.9,46.1
Shimla ,Himachal Pradesh,May ,22.7,14.4,62.8
Shimla ,Himachal Pradesh,June ,23.7,15.8,161.1
Shimla ,Himachal Pradesh,July ,20.9,15.3,419
Shimla ,Himachal Pradesh,August ,19.8,14.9,385.9
Shimla ,Himachal Pradesh,September ,19.6,13.5,206.5
Shimla ,Himachal Pradesh,October ,17.9,10.7,38.5
Shimla ,Himachal Pradesh,November ,14.1,7,12
Shimla ,Himachal Pradesh,December ,11.1,4.1,23.2
Srinagar ,Jammu and Kashmir,January ,5,-2.3,62.2
Srinagar ,Jammu and Kashmir,February ,7.6,-0.8,71.4
Srinagar ,Jammu and Kashmir,March ,13.5,3.4,101.1
Srinagar ,Jammu and Kashmir,April ,19.3,7.4,90.7
Srinagar ,Jammu and Kashmir,May ,24.2,10.9,68.2
Srinagar ,Jammu and Kashmir,June ,28.9,14.5,36.3
Srinagar ,Jammu and Kashmir,July ,30.3,18.2,54.3
Srinagar ,Jammu and Kashmir,August ,29.7,17.7,64.6
Srinagar ,Jammu and Kashmir,September ,27.6,12.5,35.4
Srinagar ,Jammu and Kashmir,October ,22.1,5.6,30.9
Srinagar ,Jammu and Kashmir,November ,15.4,0.3,19.7
Srinagar ,Jammu and Kashmir,December ,8.5,-2,41.4
Thiruvananthapuram ,Kerala,January ,30.7,22.4,22.9
Thiruvananthapuram ,Kerala,February ,31.2,23,21.9
Thiruvananthapuram ,Kerala,March ,32.1,24.4,36.4
Thiruvananthapuram ,Kerala,April ,32.1,25.3,110.5
Thiruvananthapuram ,Kerala,May ,31.3,25.2,210
Thiruvananthapuram ,Kerala,June ,29.3,23.9,343.5
Thiruvananthapuram ,Kerala,July ,28.8,23.4,218.6
Thiruvananthapuram ,Kerala,August ,29,23.5,143.2
Thiruvananthapuram ,Kerala,September ,29.6,23.6,152.5
Thiruvananthapuram ,Kerala,October ,29.5,23.6,267.9
Thiruvananthapuram ,Kerala,November ,29.6,23.3,199
Thiruvananthapuram ,Kerala,December ,30.3,22.8,70.2
Varanasi ,Uttar Pradesh,January ,23.2,8.8,17.6
Varanasi ,Uttar Pradesh,February ,26.7,11.3,15
Varanasi ,Uttar Pradesh,March ,33,16.3,7.9
Varanasi ,Uttar Pradesh,April ,38.8,22,4.4
Varanasi ,Uttar Pradesh,May ,40.9,26.2,10.5
Varanasi ,Uttar Pradesh,June ,38.8,27.9,96.6
Varanasi ,Uttar Pradesh,July ,33.8,26.4,309.9
Varanasi ,Uttar Pradesh,August ,32.8,26,273.2
Varanasi ,Uttar Pradesh,September ,32.7,25,246.4
Varanasi ,Uttar Pradesh,October ,32.7,20.7,35.1
Varanasi ,Uttar Pradesh,November ,29.3,14.1,10.7
Varanasi ,Uttar Pradesh,December ,24.6,9.6,6.5
