 Rainfall, Temperature, Ph, Production
1004.9422,11,5.5,0.39538
1004.95624,11,5.5,0.3965
1004.99258,11,5.5,0.39941
1005,11,5.5,0.4
1005.01497,11,5.5,0.4012
1005.03074,11,5.5,0.40246
1005.04675,11,5.5,0.40374
1005.05199,11,5.5,0.40416
1005.06002,11,5.5,0.4048
1005.06338,11,5.5,0.40507
1005.10151,11,5.5,0.40812
1005.12931,11,5.5,0.41034
1005.13245,11,5.5,0.4106
1005.18553,11,5.5,0.41484
1005.19841,11,5.5,0.41587
1005.20279,11,5.5,0.41622
1005.23944,11,5.5,0.41915
1005.24526,11,5.5,0.41962
1005.2532,11,5.5,0.42026
1005.29167,11,5.5,0.42333
1005.29251,11,5.5,0.4234
1005.33333,11,5.5,0.42667
1005.34539,11,5.5,0.42763
1004.9806,11,5.5,0.4331
1005.06548,11,5.5,0.44048
1005.07148,11,5.5,0.441
1005.08752,11,5.5,0.44239
1005.09434,11,5.5,0.44299
1005.11111,11,5.5,0.44444
1005.1134,11,5.5,0.44464
1005.11736,11,5.5,0.44499
1005.12613,11,5.5,0.44575
1005.14479,11,5.5,0.44737
1005.14738,11,5.5,0.4476
1005.61901,11,5.5,0.44952
1005.625,11,5.5,0.45
1005.625,11,5.5,0.45
1005.64883,11,5.5,0.45191
1005.65329,11,5.5,0.45226
1005.68814,11,5.5,0.45505
1005.71046,11,5.5,0.45684
1005.72782,11,5.5,0.45823
1005.76437,11,5.5,0.46115
1005.82318,11,5.5,0.46585
1005.85519,11,5.5,0.46842
1005.85586,11,5.5,0.46847
1005.87822,11,5.5,0.47026
1005.93023,11,5.5,0.47442
1005.93399,11,5.5,0.47472
1005.94406,11,5.5,0.47552
1005.97552,11,5.5,0.47804
1005.98273,11,5.5,0.47862
1005.99506,11,5.5,0.4796
1006.01539,11,5.5,0.48123
1006.03061,11,5.5,0.48245
1006.03448,11,5.5,0.48276
1006.06121,11,5.5,0.4849
1006.06662,11,5.5,0.48533
1006.06662,11,5.5,0.48533
1006.09149,11,5.5,0.48732
1006.11592,11,5.5,0.48927
1006.14583,11,5.5,0.49167
1006.14636,11,5.5,0.49171
1006.16913,11,5.5,0.49353
1006.19324,11,5.5,0.49546
1006.19706,11,5.7,0.49577
1006.23838,11,5.7,0.49907
1006.2711,11,5.7,0.50169
1006.34486,11,5.7,0.50759
1006.34486,11,5.7,0.50759
1006.35027,11,5.7,0.50802
1006.37444,11,5.7,0.50995
1006.38039,11,5.7,0.51043
1005.38586,11,5.7,0.51294
1005.41365,11,5.7,0.51559
1005.42423,11,5.7,0.51659
1005.42697,11,5.7,0.51685
1005.48915,11,5.7,0.52278
1005.505,11,5.7,0.52429
1005.50526,11,5.7,0.52431
1005.51112,11,5.7,0.52487
1005.59688,11,5.7,0.53304
1005.6385,11,5.7,0.537
1005.64485,11,5.7,0.5376
1005.65497,11,5.7,0.53857
1005.6828,11,5.7,0.54122
1005.69032,11,5.7,0.54194
1005.70958,11,5.7,0.54377
1006.79712,11,5.7,0.54377
1006.8418,11,5.7,0.54734
1006.85484,11,5.7,0.54839
1006.87,11,5.7,0.5496
1006.87727,11,5.7,0.55018
1006.89109,11,5.7,0.55129
1006.90329,11,5.7,0.55226
1006.90552,11,5.7,0.55244
1006.9322,11,5.7,0.55458
1006.94556,11,5.7,0.55565
1006.95489,11,5.7,0.55639
1006.96332,11,5.7,0.55707
1006.96991,11,5.7,0.55759
1006.99603,11,5.7,0.55968
1006.99931,11,5.7,0.55994
1007.01233,11,5.7,0.56099
1007.04346,11,5.7,0.56348
1007.06107,11,5.7,0.56489
1007.07201,11,5.7,0.56576
1007.0813,11,5.7,0.5665
1007.10363,11,5.7,0.56829
1007.108,11,5.7,0.56864
1007.11538,11,5.7,0.56923
1007.14286,11,5.7,0.57143
1007.18521,11,5.7,0.57482
1007.1857,11,5.7,0.57486
1007.212,11,5.7,0.57696
1007.21408,11,5.7,0.57713
1007.21939,11,5.7,0.57755
1007.22572,11,5.7,0.57806
1007.25302,11,5.7,0.58024
1007.31468,11,5.7,0.58517
1007.32177,11,5.7,0.58574
1007.36367,11,5.7,0.58909
1007.36411,11,5.7,0.58913
1007.42894,11,5.7,0.59432
1007.44089,11,5.7,0.59527
1007.45021,11,5.7,0.59602
1007.47763,11,5.7,0.59821
1007.48226,11,5.7,0.59858
1007.4917,11,5.7,0.59934
1007.4917,13,5.7,0.59934
1007.52002,13,5.7,0.6016
1007.52068,13,5.7,0.60165
1007.53225,13,5.7,0.60258
1007.53559,13,5.7,0.60285
1007.53953,13,5.7,0.60316
1007.54147,13,5.7,0.60332
1007.56327,13,5.7,0.60506
1007.56975,13,5.7,0.60558
1007.64093,13,5.7,0.61127
1007.65845,13,5.7,0.61268
1007.6598,13,5.7,0.61278
1007.66335,13,5.7,0.61307
1007.67544,13,5.7,0.61404
1007.67717,13,5.7,0.61417
1007.68235,13,5.7,0.61459
1007.69712,13,5.7,0.61577
1007.69868,13,5.7,0.61589
1007.70124,13,5.7,0.6161
1007.71077,13,5.7,0.61686
1007.71375,13,5.7,0.6171
1007.71375,13,5.7,0.6171
1007.71989,13,5.7,0.61759
1007.73208,13,5.7,0.61857
1007.75862,13,5.7,0.62069
1007.75932,13,5.7,0.62075
1007.77439,13,5.7,0.62195
1007.79473,13,5.7,0.62358
1007.80201,13,5.7,0.62416
1007.81138,13,5.7,0.62491
1007.81294,13,5.7,0.62504
1007.83323,13,5.7,0.62666
1007.86436,13,5.7,0.62915
1007.88043,13,5.7,0.63043
1010.41493,13,5.7,0.63121
1010.41493,13,5.7,0.63121
1010.43143,13,5.7,0.63221
1010.4693,13,5.8,0.6345
1010.47352,13,5.8,0.63476
1010.47447,13,5.8,0.63482
1010.49171,13,5.8,0.63586
1010.51358,13,5.8,0.63719
1010.5589,13,5.8,0.63993
1010.58491,13,5.8,0.64151
1010.60714,13,5.8,0.64286
1010.61098,13,5.8,0.64309
1010.64216,13,5.8,0.64498
1010.64564,13,5.8,0.64519
1010.65442,13,5.8,0.64572
1010.67647,13,5.8,0.64706
1008.08824,13,5.8,0.64706
1008.12252,13,5.8,0.6498
1008.13484,13,5.8,0.65079
1008.13636,13,5.8,0.65091
1008.14486,13,5.8,0.65159
1008.16953,13,5.8,0.65356
1008.17433,13,5.8,0.65395
1008.20998,13,5.8,0.6568
1008.24163,13,5.8,0.65933
1008.25018,13,5.8,0.66001
1008.28795,13,5.8,0.66304
1008.28873,15,5.8,0.6631
1008.30479,15,5.8,0.66438
1008.31154,15,5.8,0.66492
1008.31397,15,5.8,0.66512
1008.315,15,5.8,0.6652
1008.32143,15,5.8,0.66571
1008.32854,15,5.8,0.66628
1008.33333,15,5.8,0.66667
1008.33333,15,5.8,0.66667
1008.33333,15,5.8,0.66667
1008.36493,15,5.8,0.66919
1008.38964,15,5.8,0.67117
1008.39115,15,5.8,0.67129
1008.41473,17,5.8,0.67318
1008.4221,17,5.8,0.67377
1008.4265,17,5.8,0.67412
1008.42667,17,5.8,0.67413
1008.43023,17,5.8,0.67442
1008.43284,17,5.8,0.67463
1008.45126,17,5.8,0.6761
1008.46465,17,5.8,0.67717
1008.48,17,5.8,0.6784
1008.48113,17,5.8,0.67849
1008.48194,17,5.8,0.67856
1008.48214,17,5.8,0.67857
1008.48429,17,5.8,0.67874
1008.48898,17,5.8,0.67912
1008.5,17,5.8,0.68
1008.50493,17,5.8,0.68039
1008.53271,17,5.8,0.68262
1008.54317,17,5.8,0.68345
1008.54951,17,5.8,0.68396
1008.54951,17,5.8,0.68396
1008.55263,17,5.8,0.68421
1008.57765,17,5.8,0.68621
1008.59375,17,5.8,0.6875
1008.60537,17,5.8,0.68843
1008.61842,17,5.8,0.68947
1008.62449,17,5.8,0.68996
1008.64055,17,5.8,0.69124
1008.6531,17,5.8,0.69225
1008.65945,17,5.8,0.69276
1008.69755,17,5.8,0.6958
1008.70848,17,5.8,0.69668
1008.72075,17,5.8,0.69766
1008.7285,17,5.8,0.69828
1008.7358,17,5.8,0.69886
1008.75,17,5.8,0.7
1008.77088,17,5.8,0.70167
1008.77232,17,5.8,0.70179
1008.84366,17,5.8,0.70749
1008.85634,17,5.8,0.70851
1008.85922,17,5.8,0.70874
1008.85922,17,5.8,0.70874
1008.86591,17,5.8,0.70927
1008.8694,17,5.8,0.70955
1008.87097,17,5.8,0.70968
1008.87097,17,5.8,0.70968
1008.87334,17,5.8,0.70987
1008.87469,17,5.8,0.70997
1008.875,17,5.8,0.71
1008.875,17,5.8,0.71
1008.87574,17,5.8,0.71006
1008.87597,17,5.8,0.71008
1008.87753,17,5.8,0.7102
1008.88158,17,5.8,0.71053
1008.88264,17,5.8,0.71061
1008.88325,17,5.8,0.71066
1008.88853,17,5.8,0.71108
1008.89058,17,5.8,0.71125
1008.92308,17,5.8,0.71385
1008.969,17,5.8,0.71752
1008.99554,17,5.8,0.71964
1008.99554,17,5.8,0.71964
1009.006,17,5.8,0.72048
1009.02414,17,5.8,0.72193
1009.02655,17,5.8,0.72212
1009.02778,17,5.8,0.72222
1009.03555,17,5.8,0.72284
1009.07012,17,5.8,0.72561
1009.07497,17,5.8,0.726
1009.07906,17,5.8,0.72632
1009.09576,17,5.8,0.72766
1009.11358,17,5.8,0.72909
1009.11358,17,5.8,0.72909
1009.15162,17,5.8,0.73213
1009.15761,17,5.8,0.73261
1009.16252,17,5.8,0.733
1009.16667,17,5.8,0.73333
1009.17699,17,5.8,0.73416
1009.18296,17,5.8,0.73464
1009.20509,17,5.8,0.73641
1009.21173,17,5.8,0.73694
1009.21474,17,5.8,0.73718
1009.24363,17,5.8,0.73949
1009.25608,17,5.8,0.74049
1009.26902,17,5.8,0.74152
1009.31464,17,5.8,0.74517
1009.33323,17,5.8,0.74666
1009.34363,17,5.8,0.74749
1009.34849,17,5.8,0.74788
1009.35754,17,5.8,0.7486
1009.36681,17,5.8,0.74934
1009.375,17,5.8,0.75
1009.375,17,5.8,0.75
1009.375,17,5.8,0.75
1009.38562,17,5.8,0.75085
1009.42356,17,5.8,0.75388
1009.42373,17,5.8,0.7539
1009.42531,17,5.8,0.75403
1009.42645,17,5.8,0.75412
1009.45,17,5.8,0.756
1009.46354,17,5.8,0.75708
1009.47049,17,5.8,0.75764
1009.49367,17,5.8,0.75949
1009.51,17,5.8,0.7608
1009.52476,17,5.8,0.76198
1009.53745,17,5.8,0.763
1009.54527,17,5.8,0.76362
1009.55711,17,5.8,0.76457
1009.56739,17,5.8,0.76539
1009.5926,17,5.8,0.76741
1009.59288,17,5.8,0.76743
1009.59843,17,5.8,0.76787
1009.61051,17,5.8,0.76884
1009.62093,17,5.8,0.76967
1009.62594,17,5.8,0.77008
1009.65106,17,5.8,0.77208
1009.65909,17,5.8,0.77273
1009.67128,17,5.8,0.7737
1009.67658,17,5.8,0.77413
1009.71737,17,5.8,0.77739
1009.72222,17,5.8,0.77778
1009.72656,17,5.8,0.77813
1009.72656,17,5.8,0.77813
1009.73819,17,5.8,0.77906
1009.75365,17,5.8,0.78029
1009.75899,17,5.8,0.78072
1009.76827,17,5.8,0.78146
1009.77437,17,5.8,0.78195
1009.79836,17,5.8,0.78387
1009.87789,17,5.8,0.79023
1009.91963,17,5.8,0.79357
1009.93166,17,5.8,0.79453
1009.93288,17,5.8,0.79463
1009.94156,17,5.8,0.79532
1009.95353,17,5.8,0.79628
1009.95565,17,5.8,0.79645
1009.95961,17,5.8,0.79677
1144.79461,35,5.8,11.13805
1144.79592,35,5.8,11.13815
1144.79944,33,5.8,11.13842
1144.80014,33,5.8,11.13847
1144.80018,33,5.8,11.13848
1144.80087,31,5.8,11.13853
1144.80236,31,5.8,11.13864
1144.80287,31,5.8,11.13868
1144.80629,31,5.8,11.13895
1146.71774,29,5.8,11.28598
1157.49719,29,5.8,12.11517
1159.65324,29,5.8,12.28102
1159.71657,27,5.8,12.28589
1154.56377,27,5.8,12.3651
1154.56389,27,5.8,12.36511
1158.40004,27,5.8,12.672
1158.52382,25,5.8,12.68191
1158.58572,25,5.8,12.68686
1159.14255,25,5.8,12.7314
1161.18456,25,5.8,12.89476
1164.4636,25,5.8,13.15709
1174.23943,25,6,13.93915
1174.67311,26,6,13.97385
1176.03404,26,6.3,14.08272
1176.03441,26,6.1,14.08275
1230,26,5.9,18.4
1241.25,25,6,19.3
1009.96822,17,5.8,0.79746
1009.97052,17,5.8,0.79764
1009.97512,17,5.8,0.79801
1009.98134,17,5.8,0.79851
1009.99016,17,5.8,0.79921
1009.99941,17,5.8,0.79995
1010,17,5.8,0.8
1010,17,5.8,0.8
1010,17,5.8,0.8
1010.00521,17,5.8,0.80042
1010.02527,17,5.8,0.80202
1010.05208,17,5.8,0.80417
1010.06285,17,5.8,0.80503
1010.06763,17,5.8,0.80541
1010.07361,17,5.8,0.80589
1010.08902,17,5.8,0.80712
1010.11332,17,5.8,0.80907
1010.11471,17,5.8,0.80918
1010.14151,17,5.8,0.81132
1010.18,17,5.8,0.8144
1010.18137,17,5.8,0.81451
1010.20668,17,5.8,0.81653
1010.25,17,5.8,0.82
1010.25889,17,5.8,0.82071
1010.26048,17,5.8,0.82084
1010.2621,17,5.8,0.82097
1010.29155,17,5.8,0.82332
1010.29412,17,5.8,0.82353
1010.29412,17,5.8,0.82353
1010.29412,17,5.8,0.82353
1010.31915,17,5.8,0.82553
1010.35156,17,5.8,0.82813
1010.36128,17,5.8,0.8289
1010.37986,17,5.8,0.83039
1010.38676,17,5.8,0.83094
1010.4044,17,5.8,0.83235
1010.41667,17,5.8,0.83333
1010.41667,17,5.8,0.83333
1010.41667,17,5.8,0.83333
1010.41667,17,5.8,0.83333
1010.41667,17,5.8,0.83333
1010.41667,17,5.8,0.83333
1010.46023,17,5.8,0.83682
1010.46023,17,5.8,0.83682
1010.46857,17,5.8,0.83749
1010.46857,17,5.8,0.83749
1010.48074,17,5.8,0.83846
1010.48088,17,5.8,0.83847
1010.54498,17,5.8,0.8436
1010.54965,17,5.8,0.84397
1010.55556,17,5.8,0.84444
1010.55816,17,5.8,0.84465
1010.55869,17,5.8,0.8447
1010.56298,17,5.8,0.84504
1010.5699,17,5.8,0.84559
1010.58362,17,5.8,0.84669
1010.6405,17,5.8,0.85124
1010.64815,17,5.8,0.85185
1010.65419,17,5.8,0.85233
1010.67678,17,5.8,0.85414
1010.67857,17,5.8,0.85429
1010.69959,17,5.8,0.85597
1010.73127,17,5.8,0.8585
1010.80918,17,5.8,0.86473
1010.81081,17,5.8,0.86486
1010.81749,17,5.8,0.8654
1010.82829,17,5.8,0.86626
1010.83448,17,5.8,0.86676
1010.83929,17,5.8,0.86714
1010.8828,17,5.8,0.87062
1010.90409,17,5.8,0.87233
1010.91626,17,5.8,0.8733
1010.95506,17,5.8,0.8764
1010.98358,17,5.8,0.87869
1010.99037,17,5.8,0.87923
1011.01604,17,5.8,0.88128
1011.03885,17,5.8,0.88311
1011.04819,17,5.8,0.88386
1011.05469,17,5.8,0.88438
1011.05966,17,5.8,0.88477
1011.1382,17,5.8,0.89106
1011.14458,17,5.8,0.89157
1011.1654,17,5.8,0.89323
1011.18236,17,5.8,0.89459
1011.2092,17,5.8,0.89674
1011.22359,17,5.8,0.89789
1011.22754,17,5.8,0.8982
1011.24077,17,5.8,0.89926
1011.27083,17,5.8,0.90167
1011.28136,17,5.8,0.90251
1011.31737,17,5.8,0.90539
1011.35096,17,5.8,0.90808
1011.35211,17,5.8,0.90817
1011.38706,17,5.8,0.91096
1011.42117,17,5.8,0.91369
1011.44889,17,5.8,0.91591
1011.46399,17,5.8,0.91712
1011.46525,17,5.8,0.91722
1011.47886,17,5.8,0.91831
1011.50662,17,5.8,0.92053
1011.5284,17,5.8,0.92227
1011.53101,17,5.8,0.92248
1011.55793,17,5.8,0.92463
1011.56702,17,5.8,0.92536
1011.56983,17,5.8,0.92559
1011.57,17,5.8,0.9256
1011.57552,17,5.8,0.92604
1011.60789,17,5.8,0.92863
1011.61026,17,5.8,0.92882
1011.62981,17,5.8,0.93038
1011.64722,17,5.8,0.93178
1011.65816,17,5.8,0.93265
1011.68714,17,5.8,0.93497
1011.68929,17,5.8,0.93514
1011.71834,17,5.8,0.93747
1011.73147,17,5.8,0.93852
1011.73706,17,5.8,0.93896
1011.76049,17,5.8,0.94084
1011.77078,17,5.8,0.94166
1011.77147,17,5.8,0.94172
1011.78862,17,5.8,0.94309
1011.80643,17,5.8,0.94451
1011.80728,17,5.8,0.94458
1011.80893,17,5.8,0.94471
1011.80905,17,5.8,0.94472
1011.80991,17,5.8,0.94479
1011.83506,17,5.8,0.9468
1011.84015,17,5.8,0.94721
1011.84211,17,5.8,0.94737
1011.84342,17,5.8,0.94747
1011.85818,17,5.8,0.94865
1011.86048,17,5.8,0.94884
1011.875,17,5.8,0.95
1011.875,17,5.8,0.95
1011.89747,17,5.8,0.9518
1011.91897,17,5.8,0.95352
1011.9403,17,5.8,0.95522
1011.95192,17,5.8,0.95615
1011.97187,17,5.8,0.95775
1012.01613,17,5.8,0.96129
1012.03863,17,5.8,0.96309
1012.04045,17,5.8,0.96324
1012.04058,17,5.8,0.96325
1012.04062,17,5.8,0.96325
1012.04065,17,5.8,0.96325
1012.0407,17,5.8,0.96326
1012.04072,17,5.8,0.96326
1012.04081,17,5.8,0.96326
1012.04085,17,5.8,0.96327
1012.04096,17,5.8,0.96328
1012.04115,17,5.8,0.96329
1012.04116,17,5.8,0.96329
1012.04127,17,5.8,0.9633
1012.04147,17,5.8,0.96332
1012.04632,17,5.8,0.96371
1012.04719,17,5.8,0.96378
1012.05474,17,5.8,0.96438
1012.055,17,5.8,0.9644
1012.055,17,5.8,0.9644
1012.05564,17,5.8,0.96445
1012.05564,17,5.8,0.96445
1012.05597,17,5.8,0.96448
1012.0591,17,5.8,0.96473
1012.06552,17,5.8,0.96524
1012.0823,17,5.8,0.96658
1012.08523,17,5.8,0.96682
1012.09677,17,5.8,0.96774
1012.125,17,5.8,0.97
1012.15228,17,5.8,0.97218
1012.15976,17,5.8,0.97278
1012.16947,17,5.8,0.97356
1012.17244,17,5.8,0.9738
1012.17585,17,5.8,0.97407
1012.19079,17,5.8,0.97526
1012.19438,17,5.8,0.97555
1012.20513,17,5.8,0.97641
1012.2096,17,5.8,0.97677
1012.21217,17,5.8,0.97697
1012.21224,17,5.8,0.97698
1012.21289,17,5.8,0.97703
1012.21384,17,5.8,0.97711
1012.21417,17,5.8,0.97713
1012.21422,17,5.8,0.97714
1012.21524,17,5.8,0.97722
1012.24585,17,5.8,0.97967
1012.24948,17,5.8,0.97996
1012.25608,17,5.8,0.98049
1012.258,17,5.8,0.98064
1012.28814,17,5.8,0.98305
1012.30469,17,5.8,0.98438
1012.30701,17,5.8,0.98456
1012.32769,17,5.8,0.98622
1012.32877,17,5.8,0.9863
1012.35127,17,5.8,0.9881
1012.35345,17,5.8,0.98828
1012.36559,17,5.8,0.98925
1012.37342,17,5.8,0.98987
1012.38133,17,5.8,0.99051
1012.42155,17,5.8,0.99372
1012.44101,17,5.8,0.99528
1012.44383,17,5.8,0.99551
1012.48092,17,5.8,0.99847
1012.48276,17,5.8,0.99862
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.5,17,5.8,1
1012.50275,17,5.8,1.00022
1012.52355,17,5.8,1.00188
1012.53379,17,5.8,1.0027
1012.54433,17,5.8,1.00355
1012.55375,17,5.8,1.0043
1012.5768,17,5.8,1.00614
1012.57837,17,5.8,1.00627
1012.59615,17,5.8,1.00769
1012.62324,17,5.8,1.00986
1012.62458,17,5.8,1.00997
1012.63007,17,5.8,1.01041
1012.6462,17,5.8,1.0117
1012.65026,17,5.8,1.01202
1012.65026,17,5.8,1.01202
1012.65674,17,5.8,1.01254
1012.70683,17,5.8,1.01655
1012.70873,17,5.8,1.0167
1012.74914,17,5.8,1.01993
1012.76978,17,5.8,1.02158
1012.78525,17,5.8,1.02282
1012.81401,17,5.8,1.02512
1012.8768,17,5.8,1.03014
1012.91667,17,5.8,1.03333
1012.91757,17,5.8,1.03341
1012.98918,17,5.8,1.03913
1013.01899,17,5.8,1.04152
1013.05436,17,5.8,1.04435
1013.06326,17,5.8,1.04506
1013.08957,17,5.8,1.04717
1013.09711,17,5.8,1.04777
1013.125,17,5.8,1.05
1013.13264,17,5.8,1.05061
1013.15632,17,5.8,1.05251
1013.17627,17,5.8,1.0541
1013.18121,17,5.8,1.0545
1013.18152,17,5.8,1.05452
1013.18167,17,5.8,1.05453
1013.18383,17,5.8,1.05471
1013.18807,17,5.8,1.05505
1013.20399,17,5.8,1.05632
1013.20565,17,5.8,1.05645
1013.21143,17,5.8,1.05691
1013.23427,17,5.8,1.05874
1013.25044,17,5.8,1.06004
1013.25597,17,5.8,1.06048
1013.29305,17,5.8,1.06344
1013.3139,17,5.8,1.06511
1013.33776,17,5.8,1.06702
1013.35898,17,5.8,1.06872
1013.37743,17,5.8,1.07019
1013.39202,17,5.8,1.07136
1013.39234,17,5.8,1.07139
1013.39286,17,5.8,1.07143
1013.39918,17,5.8,1.07193
1013.41575,17,5.8,1.07326
1013.41576,17,5.8,1.07326
1013.4317,17,5.8,1.07454
1013.434,17,5.8,1.07472
1013.445,17,5.8,1.0756
1013.50153,17,5.8,1.08012
1013.5078,17,5.8,1.08062
1013.52459,17,5.8,1.08197
1013.55178,17,5.8,1.08414
1013.55429,17,5.8,1.08434
1013.55429,17,5.8,1.08434
1013.55642,17,5.8,1.08451
1013.5637,17,5.8,1.0851
1013.56459,17,5.8,1.08517
1013.6148,17,5.8,1.08918
1013.62768,17,5.8,1.09021
1013.63701,17,5.8,1.09096
1013.63706,17,5.8,1.09096
1013.65215,17,5.8,1.09217
1013.70977,17,5.8,1.09678
1013.71725,17,5.8,1.09738
1013.71951,17,5.8,1.09756
1013.75,17,5.8,1.1
1013.75825,17,5.8,1.10066
1013.75976,17,5.8,1.10078
1013.7636,17,5.8,1.10109
1013.7636,17,5.8,1.10109
1013.76404,17,5.8,1.10112
1013.8285,17,5.8,1.10628
1013.86676,17,5.8,1.10934
1013.86752,17,5.8,1.1094
1013.93322,17,5.8,1.11466
1013.97413,17,5.8,1.11793
1013.99624,17,5.8,1.1197
1014,17,5.8,1.12
1014.01899,17,5.8,1.12152
1014.04494,17,5.8,1.1236
1014.04532,17,5.8,1.12363
1014.05654,17,5.8,1.12452
1014.06077,17,5.8,1.12486
1014.0625,17,5.8,1.125
1014.07215,17,5.8,1.12577
1014.07563,17,5.8,1.12605
1014.10536,17,5.8,1.12843
1014.12,17,5.8,1.1296
1014.12326,17,5.8,1.12986
1014.12353,17,5.8,1.12988
1014.1299,17,5.8,1.13039
1014.14685,17,5.8,1.13175
1014.15654,17,5.8,1.13252
1014.16434,17,5.8,1.13315
1014.17874,17,5.8,1.1343
1014.19956,17,5.8,1.13596
1014.20506,17,5.8,1.1364
1014.21961,17,5.8,1.13757
1014.24107,17,5.8,1.13929
1014.25497,17,5.8,1.1404
1014.27469,17,5.8,1.14198
1014.2935,17,5.8,1.14348
1014.31753,17,5.8,1.1454
1014.31761,17,5.8,1.14541
1014.31771,17,5.8,1.14542
1014.31781,17,5.8,1.14543
1014.31797,17,5.8,1.14544
1014.31804,17,5.8,1.14544
1014.3182,17,5.8,1.14546
1014.32557,17,5.8,1.14605
1014.32867,17,5.8,1.14629
1014.33327,17,5.8,1.14666
1014.42308,17,5.8,1.15385
1014.43089,17,5.8,1.15447
1014.44996,17,5.8,1.156
1014.51389,17,6,1.16111
1014.51525,17,6,1.16122
1014.53694,17,6,1.16295
1014.53704,17,6,1.16296
1014.54108,17,6,1.16329
1014.5428,17,6,1.16342
1014.5476,17,6,1.16381
1014.55787,17,6,1.16463
1014.58333,17,6,1.16667
1014.6111,17,6,1.16889
1014.61422,17,6,1.16914
1014.64008,17,6,1.17121
1014.64422,17,6,1.17154
1014.67414,17,6,1.17393
1014.67742,17,6,1.17419
1014.6875,17,6,1.175
1014.77273,17,6,1.18182
1014.77273,17,6,1.18182
1014.77273,17,6,1.18182
1014.77273,17,6,1.18182
1014.78873,17,6,1.1831
1014.79492,17,6,1.18359
1014.80761,17,6,1.18461
1014.81676,17,6,1.18534
1014.86452,17,6,1.18916
1014.88339,17,6,1.19067
1014.90385,17,6,1.19231
1014.91949,17,6,1.19356
1014.92863,17,6,1.19429
1014.95424,17,6,1.19634
1014.95675,17,6,1.19654
1015,17,6,1.2
1015,17,6,1.2
1015.01585,17,6,1.20127
1015.03446,17,6,1.20276
1015.03906,17,6,1.20313
1015.05102,17,6,1.20408
1015.11697,17,6,1.20936
1015.12001,17,6,1.2096
1015.12015,17,6,1.20961
1015.17857,17,6,1.21429
1015.19103,17,6,1.21528
1015.2488,17,6,1.2199
1015.31179,17,6,1.22494
1015.33231,17,6,1.22659
1015.33233,17,6,1.22659
1015.33249,17,6,1.2266
1015.33252,17,6,1.2266
1015.33267,17,6,1.22661
1015.33284,17,6,1.22663
1015.33299,17,6,1.22664
1015.35193,17,6,1.22815
1015.38191,17,6,1.23055
1015.38462,17,6,1.23077
1015.41667,17,6,1.23333
1015.42208,17,6,1.23377
1015.42707,17,6,1.23417
1015.43783,17,6,1.23503
1015.43783,17,6,1.23503
1015.44118,17,6,1.23529
1015.44118,17,6,1.23529
1015.45741,17,6,1.23659
1015.4921,17,6,1.23937
1015.53398,17,6,1.24272
1015.56222,17,6,1.24498
1015.56553,17,6,1.24524
1015.66069,17,6,1.25285
1015.68521,17,6,1.25482
1015.68627,17,6,1.2549
1015.68627,17,6,1.2549
1015.72135,17,6,1.25771
1015.7264,17,6,1.25811
1015.72746,17,6,1.2582
1015.73741,17,6,1.25899
1015.74074,17,6,1.25926
1015.76014,17,6,1.26081
